player_stats_id,player_id,game_id,PaComp,PaAtt,PaYd,PaTD,PaINT,RuAtt,RuYd,RuTD,Target,Rec,ReYd,ReTD
315,25,2024091505,28,36,319,1,1,2,12,0,,,,
316,9,2024091506,33,44,327,1,0,5,8,0,,,,
317,5,2024091510,21,34,247,1,1,5,45,0,,,,
318,29,2024091507,16,28,178,2,0,5,32,0,,,,
319,28,2024091601,20,29,241,2,0,4,-1,0,,,,
320,23,2024091501,27,39,293,1,2,2,12,0,,,,
321,13,2024091513,18,25,151,2,2,4,29,0,,,,
322,3,2024091503,17,34,204,1,3,4,37,0,,,,
323,16,2024091510,30,38,276,1,1,1,-1,0,,,,
324,21,2024091504,19,28,192,1,1,4,38,0,,,,
325,18,2024091509,22,34,186,0,0,5,20,1,,,,
326,26,2024091504,18,30,176,2,0,2,1,0,,,,
327,11,2024091514,23,36,260,1,0,1,-1,0,,,,
328,27,2024091508,14,20,130,2,1,6,18,0,,,,
329,19,2024091502,34,55,307,0,2,2,5,0,,,,
330,4,2024091507,23,29,226,0,0,10,44,0,,,,
331,24,2024091509,14,30,220,0,0,2,45,0,,,,
332,17,2024091512,20,35,246,0,2,4,25,0,,,,
333,36,2024091503,12,14,122,1,0,6,41,0,,,,
334,33,2024091514,23,37,174,0,2,5,44,0,,,,
335,8,2024091201,17,25,145,1,3,2,17,0,,,,
336,22,2024091512,13,20,117,1,0,8,27,0,,,,
337,31,2024091506,15,27,149,1,0,2,6,0,,,,
338,1,2024091201,13,19,139,1,0,2,2,0,,,,
339,12,2024091511,19,27,216,0,0,0,0,0,,,,
340,20,2024091508,18,26,84,0,1,1,6,0,,,,
341,309,2024091201,8,14,80,0,0,1,4,0,,,,
342,310,2024091509,0,0,0,0,0,2,4,0,,,,
343,38,2024091501,1,3,6,0,0,0,0,0,,,,
344,311,2024091201,0,0,0,0,0,2,-2,0,,,,
345,35,2024091501,0,0,0,0,0,3,-3,0,,,,
346,312,2024091511,0,0,0,0,0,1,-6,0,,,,
347,45,2024091501,,,,,,20,115,3,3,2,65,1
348,68,2024091201,,,,,,11,78,2,1,1,17,1
349,48,2024091201,,,,,,22,96,0,7,7,69,1
350,43,2024091508,,,,,,17,131,1,1,1,0,0
351,53,2024091511,,,,,,21,122,1,1,1,2,0
352,98,2024091504,,,,,,7,33,1,4,2,23,1
353,50,2024091504,,,,,,14,62,0,8,7,52,1
354,42,2024091505,,,,,,20,100,1,1,1,4,0
355,65,2024091510,,,,,,18,84,1,1,1,12,0
356,75,2024091507,,,,,,16,95,1,1,1,0,0
