player_id,team_id,player_name,position,age,exp,injury_status
0236,10,Lil'Jordan Humphrey,WR,,,
0237,24,Jalin Hyatt,WR,,,
0238,30,Kameron Johnson,WR,,,
0239,5,Jordan Matthews,WR,,,
0240,23,Bub Means,WR,,,
0241,10,Marvin Mims,WR,,,
0242,16,JuJu Smith-Schuster,WR,,,
0243,9,KaVontae Turpin,WR,,,
0244,12,Dontayvion Wicks,WR,,,
0245,23,Cedrick Wilson,WR,,,
0246,26,Johnny Wilson,WR,,,
0247,29,Dareke Young,WR,,,
0248,3,Isaiah Likely,TE,,,
0249,23,Foster Moreau,TE,,,
0250,23,Juwan Johnson,TE,,,
0251,2,Kyle Pitts,TE,,,
0252,31,Chigoziem Okonkwo,TE,,,
0253,17,Brock Bowers,TE,,,
0254,19,Colby Parkinson,TE,,,
0255,11,Sam LaPorta,TE,,,
0256,8,David Njoku,TE,,,
0257,28,George Kittle,TE,,,
0258,16,Noah Gray,TE,,,
0259,12,Tucker Kraft,TE,,,
0260,23,Taysom Hill,TE,,,
0261,16,Travis Kelce,TE,,,
0262,18,Hayden Hurst,TE,,,
0263,26,Dallas Goedert,TE,,,
0264,22,Austin Hooper,TE,,,
0265,1,Trey McBride,TE,,,
0266,32,Zach Ertz,TE,,,
0267,8,Jordan Akins,TE,,,
0268,27,Pat Freiermuth,TE,,,
0269,21,Josh Oliver,TE,,,
0270,4,Dawson Knox,TE,,,
0271,7,Mike Gesicki,TE,,,
0272,22,Hunter Henry,TE,,,
0273,7,Tanner Hudson,TE,,,
0274,24,Theo Johnson,TE,,,
0275,13,Dalton Schultz,TE,,,
0276,9,Jake Ferguson,TE,,,
0277,21,Johnny Mundt,TE,,,
0278,3,Mark Andrews,TE,,,
0279,18,Will Dissly,TE,,,
0280,10,Greg Dulcich,TE,,,
0281,1,Elijah Higgins,TE,,,
0282,26,Grant Calcaterra,TE,,,
0283,29,Noah Fant,TE,,,
0284,4,Dalton Kincaid,TE,,,
0285,31,Nick Vannett,TE,,,
0286,27,MyCole Pruitt,TE,,,
0287,20,Jonnu Smith,TE,,,
0288,25,Tyler Conklin,TE,,,
0289,20,Julian Hill,TE,,,
0290,15,Evan Engram,TE,,,
0291,30,Cade Otton,TE,,,
0292,27,Darnell Washington,TE,,,
0293,6,Cole Kmet,TE,,,
0294,5,Ja'Tavion Sanders,TE,,,
0295,2,Charlie Woerner,TE,,,
0296,24,Daniel Bellinger,TE,,,
0297,13,Brevin Jordan,TE,,,
0298,17,Michael Mayer,TE,,,
0299,11,Brock Wright,TE,,,
0300,14,Mo Alie-Cox,TE,,,
0301,19,Davis Allen,TE,,,
0302,32,John Bates,TE,,,
0303,14,Kylen Granson,TE,,,
0304,12,Luke Musgrave,TE,,,
0305,28,Eric Saubert,TE,,,
0306,20,Durham Smythe,TE,,,
0307,10,Adam Trautman,TE,,,
0308,6,Gerald Everett,TE,,,
0309,20,Skylar Thompson,QB,,,
0310,8,Jameis Winston,QB,,,
0311,4,Mitchell Trubisky,QB,,,
0312,1,Clayton Tune,QB,,,
0313,8,D'Onta Foreman,RB,,,
0314,13,Cam Akers,RB,,,
0315,19,Blake Corum,RB,,,
0316,15,D'Ernest Johnson,RB,,,
0317,10,Tyler Badie,RB,,,
0318,12,MarShawn Lloyd,RB,,,
0319,11,Sione Vaki,RB,,,
0320,18,Hassan Haskins,RB,,,
0321,14,Trey Sermon,RB,,,
0322,20,Jaylen Wright,RB,,,
0323,17,Ameer Abdullah,RB,,,
0324,14,Tyler Goodson,RB,,,
0325,22,JaMycal Hasty,RB,,,
0326,28,Isaac Guerendo,RB,,,
0327,23,Adam Prentice,RB,,,
0328,3,Patrick Ricard,RB,,,
